seed_id,email,first_name,last_name,role,batch,placement_status,client,created_at
1,aisha.rahman.0001@informationtechconsultants.co.uk,Aisha,Rahman,USER,PYTHON,PLACED,Northstar Bank,2026-04-17T18:39:32.084Z
2,aisha.morgan.0002@informationtechconsultants.co.uk,Aisha,Morgan,USER,PYTHON,PLACED,Atlas Retail,2023-02-13T02:52:16.974Z
3,aisha.shah.0003@informationtechconsultants.co.uk,Aisha,Shah,USER,PYTHON,PLACED,Redwood Energy,2024-04-26T07:11:55.642Z
4,aisha.green.0004@informationtechconsultants.co.uk,Aisha,Green,USER,PYTHON,PLACED,Horizon Health,2024-09-29T14:59:23.959Z
5,aisha.patel.0005@informationtechconsultants.co.uk,Aisha,Patel,USER,PYTHON,PLACED,BluePeak Telecom,2024-12-24T22:45:22.481Z
6,aisha.reed.0006@informationtechconsultants.co.uk,Aisha,Reed,USER,PYTHON,PLACED,Meridian Finance,2024-05-24T12:49:49.839Z
7,aisha.hassan.0007@informationtechconsultants.co.uk,Aisha,Hassan,USER,PYTHON,PLACED,Vertex Logistics,2025-12-11T22:52:44.261Z
8,aisha.brooks.0008@informationtechconsultants.co.uk,Aisha,Brooks,USER,PYTHON,PLACED,Cedar Insurance,2023-06-27T02:58:48.946Z
9,aisha.khan.0009@informationtechconsultants.co.uk,Aisha,Khan,USER,PYTHON,PLACED,Aurora Media,2023-02-19T22:59:00.397Z
10,aisha.grant.0010@informationtechconsultants.co.uk,Aisha,Grant,USER,PYTHON,PLACED,Ember Mobility,2025-03-23T21:25:53.379Z
11,aisha.clarke.0011@informationtechconsultants.co.uk,Aisha,Clarke,USER,PYTHON,PLACED,Summit Travel,2025-12-15T18:17:53.811Z
12,aisha.turner.0012@informationtechconsultants.co.uk,Aisha,Turner,USER,PYTHON,PLACED,Oakline Public Sector,2026-06-23T16:12:16.345Z
13,aisha.okafor.0013@informationtechconsultants.co.uk,Aisha,Okafor,USER,PYTHON,PLACED,Northstar Bank,2024-03-10T12:53:19.137Z
14,aisha.walsh.0014@informationtechconsultants.co.uk,Aisha,Walsh,USER,PYTHON,PLACED,Atlas Retail,2025-11-23T21:56:27.209Z
